"Date","Price","Open","High","Low","Change %"
"Jun 2016","7.600","7.600","7.600","7.600","6.29%"
"May 2016","7.150","7.150","7.150","7.150","-2.72%"
"Apr 2016","7.350","7.350","7.350","7.350","3.52%"
"Mar 2016","7.100","7.100","7.100","7.100","-1.39%"
"Feb 2016","7.200","7.200","7.200","7.200","-1.37%"
"Jan 2016","7.300","7.300","7.300","7.300","14.96%"
"Dec 2015","6.350","6.350","6.350","6.350","-4.51%"
"Nov 2015","6.650","6.650","6.650","6.650","0.00%"
"Oct 2015","6.650","6.650","6.650","6.650","2.31%"
"Sep 2015","6.500","6.500","6.500","6.500","0.15%"
"Aug 2015","6.490","6.490","6.490","6.490","0.00%"
"Jul 2015","6.490","6.490","6.490","6.490","-1.67%"
"Jun 2015","6.600","6.600","6.600","6.600","5.60%"
"May 2015","6.250","6.250","6.250","6.250","1.46%"
"Apr 2015","6.160","6.160","6.160","6.160","0.16%"
"Mar 2015","6.150","6.150","6.150","6.150","4.06%"
"Feb 2015","5.910","5.910","5.910","5.910","2.78%"
"Jan 2015","5.750","5.750","5.750","5.750","-2.54%"
"Dec 2014","5.900","5.900","5.900","5.900","-3.28%"
"Nov 2014","6.100","6.100","6.100","6.100","-0.81%"
"Oct 2014","6.150","6.150","6.150","6.150","0.00%"
"Sep 2014","6.150","6.150","6.150","6.150","-0.81%"
"Aug 2014","6.200","6.200","6.200","6.200","5.26%"
"Jul 2014","5.890","5.890","5.890","5.890","-2.64%"
"Jun 2014","6.050","6.050","6.050","6.050","4.31%"
"May 2014","5.800","5.800","5.800","5.800","-0.85%"
"Apr 2014","5.850","5.850","5.850","5.850","0.00%"
"Mar 2014","5.850","5.850","5.850","5.850","0.86%"
"Feb 2014","5.800","5.800","5.800","5.800","0.00%"
"Jan 2014","5.800","5.800","5.800","5.800","10.48%"
"Dec 2013","5.250","5.250","5.250","5.250","-5.41%"
"Nov 2013","5.550","5.550","5.550","5.550","-2.63%"
"Oct 2013","5.700","5.700","5.700","5.700","5.56%"
"Sep 2013","5.400","5.400","5.400","5.400","2.86%"
"Aug 2013","5.250","5.250","5.250","5.250","-2.42%"
"Jul 2013","5.380","5.380","5.380","5.380","2.48%"
"Jun 2013","5.250","5.250","5.250","5.250","0.96%"
"May 2013","5.200","5.200","5.200","5.200","2.77%"
"Apr 2013","5.060","5.060","5.060","5.060","-0.39%"
"Mar 2013","5.080","5.080","5.080","5.080","-1.36%"
"Feb 2013","5.150","5.150","5.150","5.150","-0.58%"
"Jan 2013","5.180","5.180","5.180","5.180","-1.71%"
"Dec 2012","5.270","5.270","5.270","5.270","-6.06%"
"Nov 2012","5.610","5.610","5.610","5.610","-0.18%"
"Oct 2012","5.620","5.620","5.620","5.620","2.00%"
"Sep 2012","5.510","5.510","5.510","5.510","2.04%"
